2018-07-05 17:02:23 status config-files libnewt0.52:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 purge libnewt0.52:amd64 0.52.18-1ubuntu2 <none>
2018-07-05 17:02:23 status config-files libnewt0.52:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 status config-files libnewt0.52:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 status config-files libnewt0.52:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 status config-files libnewt0.52:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 status config-files libnewt0.52:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 status not-installed libnewt0.52:amd64 <none>
2018-07-05 17:02:23 status installed pciutils:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 remove pciutils:amd64 1:3.3.1-1.1ubuntu1.2 <none>
2018-07-05 17:02:23 status half-configured pciutils:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 status half-installed pciutils:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 status config-files pciutils:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 purge pciutils:amd64 1:3.3.1-1.1ubuntu1.2 <none>
2018-07-05 17:02:23 status config-files pciutils:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 status config-files pciutils:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 status config-files pciutils:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 status config-files pciutils:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 status config-files pciutils:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 status not-installed pciutils:amd64 <none>
2018-07-05 17:02:23 status installed libpci3:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 remove libpci3:amd64 1:3.3.1-1.1ubuntu1.2 <none>
2018-07-05 17:02:23 status half-configured libpci3:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 status half-installed libpci3:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 status config-files libpci3:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 status config-files libpci3:amd64 1:3.3.1-1.1ubuntu1.2
2018-07-05 17:02:23 status config-files libpci3:amd64 1:3.3.1-1.1ubuntu1.2
